iter	Passed	Remaining
0	1	138
1	2	116
2	3	103
3	4	96
4	4	93
5	5	92
6	6	89
7	7	89
8	9	92
9	10	91
10	11	94
11	12	94
12	13	92
13	14	91
14	16	90
15	17	89
16	18	89
17	19	88
18	20	86
19	21	85
20	22	85
21	24	85
22	25	84
23	26	83
24	27	81
25	28	80
26	29	78
27	29	77
28	30	75
29	31	74
30	32	72
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	42	59
42	43	58
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	69	29
70	70	28
71	71	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	79	17
82	80	16
83	81	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	98	0
