iter	Passed	Remaining
0	152	152048
1	153	76741
2	155	51537
3	156	38940
4	158	31464
5	160	26549
6	161	22927
7	162	20199
8	164	18085
9	165	16401
10	166	14998
11	168	13862
12	169	12884
13	172	12117
14	174	11434
15	175	10790
16	176	10216
17	178	9728
18	179	9271
19	180	8866
20	182	8492
21	183	8154
22	184	7840
23	186	7571
24	187	7323
25	189	7081
26	190	6853
27	191	6639
28	192	6441
29	193	6255
30	194	6079
31	195	5918
32	197	5774
33	198	5629
34	199	5499
35	200	5378
36	202	5264
37	203	5151
38	204	5045
39	206	4963
40	208	4871
41	209	4781
42	210	4695
43	213	4631
44	214	4559
45	216	4481
46	217	4409
47	218	4338
48	219	4269
49	221	4203
50	222	4140
51	223	4078
52	224	4018
53	226	3963
54	228	3917
55	229	3867
56	230	3816
57	231	3765
58	233	3717
59	234	3671
60	235	3626
61	237	3589
62	238	3552
63	240	3514
64	242	3493
65	244	3460
66	245	3424
67	246	3383
68	248	3350
69	249	3314
70	250	3282
71	252	3250
72	253	3224
73	255	3195
74	257	3170
75	258	3144
76	260	3117
77	261	3090
78	262	3062
79	264	3039
80	265	3014
81	266	2989
82	268	2964
83	269	2940
84	271	2922
85	272	2898
86	273	2869
87	274	2849
88	276	2828
89	277	2808
90	279	2788
91	280	2764
92	281	2745
93	282	2726
94	284	2710
95	285	2692
96	287	2678
97	289	2662
98	290	2646
99	292	2630
100	293	2615
101	295	2599
102	296	2583
103	298	2567
104	299	2554
105	301	2542
106	302	2528
107	304	2511
108	305	2496
109	306	2483
110	308	2470
111	309	2455
112	311	2442
113	312	2429
114	314	2418
115	315	2407
116	317	2396
117	318	2383
118	320	2369
119	320	2352
120	322	2339
121	323	2327
122	324	2315
123	326	2308
124	328	2301
125	330	2294
126	332	2284
127	333	2272
128	334	2260
129	336	2249
130	337	2239
131	338	2225
132	340	2217
133	341	2208
134	343	2203
135	345	2195
136	346	2181
137	347	2171
138	348	2161
139	350	2151
140	351	2141
141	352	2132
142	354	2123
143	355	2115
144	357	2108
145	359	2100
146	360	2092
147	362	2084
148	363	2076
149	365	2070
150	367	2065
151	369	2059
152	371	2054
153	373	2050
154	375	2047
155	377	2040
156	378	2033
157	380	2026
158	381	2018
159	382	2009
160	383	2001
161	385	1995
162	387	1990
163	388	1982
164	390	1973
165	391	1965
166	392	1956
167	393	1948
168	394	1940
169	395	1932
170	396	1924
171	398	1916
172	399	1911
173	401	1905
174	402	1898
175	403	1891
176	405	1883
177	406	1875
178	407	1868
179	408	1860
180	409	1853
181	410	1846
182	411	1837
183	412	1830
184	414	1824
185	416	1821
186	417	1815
187	418	1808
188	419	1801
189	420	1794
190	422	1787
191	423	1781
192	424	1775
193	425	1769
194	426	1762
195	428	1756
196	429	1752
197	431	1747
198	432	1741
199	433	1735
200	434	1728
201	436	1723
202	437	1718
203	438	1712
204	440	1706
205	441	1700
206	442	1695
207	444	1691
208	445	1686
209	446	1680
210	447	1674
211	448	1666
212	449	1661
213	450	1655
214	451	1649
215	452	1644
216	454	1638
217	455	1633
218	456	1628
219	458	1624
220	459	1619
221	460	1615
222	462	1610
223	463	1606
224	465	1603
225	467	1600
226	468	1595
227	470	1591
228	471	1588
229	473	1584
230	474	1579
231	475	1575
232	477	1572
233	479	1568
234	480	1564
235	482	1560
236	483	1557
237	485	1554
238	487	1552
239	490	1552
240	492	1550
241	494	1547
242	495	1545
243	497	1541
244	499	1538
245	500	1534
246	502	1530
247	503	1526
248	505	1523
249	506	1519
250	508	1515
251	509	1512
252	511	1509
253	513	1506
254	515	1504
255	516	1501
256	518	1498
257	520	1496
258	521	1492
259	522	1488
260	524	1485
261	526	1482
262	527	1479
263	529	1475
264	530	1470
265	531	1467
266	533	1464
267	534	1461
268	536	1457
269	537	1454
270	539	1450
271	540	1447
272	542	1444
273	543	1440
274	544	1436
275	546	1433
276	548	1430
277	549	1426
278	550	1423
279	552	1420
280	554	1418
281	555	1414
282	556	1411
283	557	1406
284	559	1402
285	560	1399
286	562	1397
287	563	1393
288	565	1390
289	566	1386
290	568	1384
291	569	1381
292	570	1377
293	572	1373
294	573	1370
295	575	1367
296	576	1365
297	578	1361
298	579	1358
299	581	1355
300	582	1353
301	584	1350
302	585	1346
303	586	1342
304	587	1339
305	589	1336
306	591	1334
307	592	1330
308	593	1327
309	595	1324
310	596	1321
311	597	1318
312	599	1314
313	600	1311
314	601	1307
315	602	1304
316	604	1301
317	605	1299
318	607	1296
319	608	1293
320	609	1290
321	611	1286
322	612	1283
323	613	1279
324	614	1276
325	615	1273
326	617	1270
327	619	1268
328	620	1265
329	621	1262
330	623	1259
331	624	1255
332	625	1252
333	626	1249
334	628	1246
335	629	1243
336	630	1240
337	632	1237
338	633	1235
339	635	1232
340	636	1230
341	637	1227
342	639	1224
343	640	1221
344	641	1218
345	643	1215
346	644	1212
347	646	1210
348	647	1208
349	649	1205
350	650	1202
351	651	1199
352	652	1196
353	653	1193
354	654	1189
355	656	1186
356	657	1183
357	658	1181
358	660	1178
359	661	1176
360	663	1173
361	664	1170
362	665	1167
363	666	1164
364	667	1161
365	668	1158
366	669	1155
367	671	1152
368	673	1151
369	675	1149
370	676	1147
371	677	1144
372	679	1141
373	680	1138
374	681	1135
375	682	1132
376	683	1129
377	684	1126
378	686	1124
379	688	1122
380	690	1121
381	692	1119
382	693	1117
383	694	1114
384	696	1111
385	697	1109
386	698	1106
387	699	1103
388	700	1100
389	702	1098
390	704	1096
391	705	1094
392	707	1092
393	708	1090
394	710	1087
395	711	1085
396	713	1083
397	714	1080
398	716	1079
399	718	1078
400	720	1075
401	721	1073
402	722	1070
403	723	1067
404	724	1064
405	726	1062
406	727	1059
407	728	1056
408	730	1055
409	731	1053
410	733	1051
411	734	1048
412	736	1046
413	737	1044
414	739	1041
415	740	1039
416	741	1036
417	742	1034
418	744	1031
419	745	1029
420	747	1027
421	748	1025
422	749	1022
423	750	1020
424	752	1017
425	753	1014
426	754	1012
427	755	1009
